date,tactic,state,campaign,impression,clicks,spend,attributed_revenue
2025-05-18,Display,TX,FAC_Camp_4,1860,28,55.81,115.68
2025-05-18,Video,IL,FAC_Camp_7,5426,164,158.67,163.21
2025-05-18,Shopping,FL,FAC_Camp_2,3433,51,31.71,44.39
2025-05-18,Video,FL,FAC_Camp_1,9666,373,194.27,266.53
2025-05-19,Display,FL,FAC_Camp_4,18912,142,226.82,247.73
2025-05-19,Display,FL,FAC_Camp_1,11555,415,450.88,332.17
2025-05-19,Social,NY,FAC_Camp_4,16787,541,150.99,421.48
2025-05-19,Display,NY,FAC_Camp_4,2021,67,97.65,109.87
2025-05-20,Social,CA,FAC_Camp_2,1995,75,174.02,157.23
2025-05-20,Social,FL,FAC_Camp_6,9529,330,511.34,1493.16
2025-05-20,Search,CA,FAC_Camp_5,8208,174,100.94,74.29
2025-05-21,Display,NY,FAC_Camp_3,7736,341,687.93,1440.32
2025-05-21,Shopping,TX,FAC_Camp_1,9392,368,353.67,299.27
2025-05-21,Video,CA,FAC_Camp_4,11965,643,826.96,806.34
2025-05-21,Display,NY,FAC_Camp_5,1502,71,94.84,180.41
2025-05-22,Social,IL,FAC_Camp_3,16934,918,1187.3,2369.3
2025-05-22,Video,TX,FAC_Camp_7,7374,203,393.37,482.36
2025-05-23,Social,FL,FAC_Camp_4,11817,464,408.3,384.88
2025-05-23,Social,CA,FAC_Camp_4,4627,129,287.87,416.26
2025-05-23,Video,CA,FAC_Camp_7,2306,65,135.29,362.53
2025-05-24,Search,FL,FAC_Camp_5,14545,342,810.09,1169.26
2025-05-24,Display,TX,FAC_Camp_1,19237,1124,2712.92,3470.09
2025-05-24,Display,FL,FAC_Camp_1,2636,54,15.38,32.33
2025-05-25,Social,NY,FAC_Camp_7,6855,376,282.37,291.76
2025-05-25,Shopping,FL,FAC_Camp_6,5931,56,58.81,73.92
2025-05-25,Search,FL,FAC_Camp_2,1197,32,66.49,168.63
2025-05-26,Video,NY,FAC_Camp_6,19895,144,224.5,507.01
2025-05-26,Display,CA,FAC_Camp_3,9338,225,94.77,271.35
2025-05-26,Display,TX,FAC_Camp_3,9155,415,282.56,549.67
2025-05-26,Search,NY,FAC_Camp_7,15075,220,540.98,1021.51
2025-05-27,Video,FL,FAC_Camp_6,8158,192,192.61,456.43
2025-05-27,Social,TX,FAC_Camp_6,13183,682,1604.04,4020.18
2025-05-28,Display,TX,FAC_Camp_1,17482,1023,872.64,1223.74
2025-05-28,Social,TX,FAC_Camp_5,14992,220,53.15,97.58
2025-05-28,Shopping,TX,FAC_Camp_1,5735,207,86.0,132.93
2025-05-29,Search,IL,FAC_Camp_3,17609,427,718.96,1609.41
2025-05-29,Search,FL,FAC_Camp_4,8996,291,441.04,1088.34
2025-05-29,Search,IL,FAC_Camp_4,19589,1125,2592.21,4021.46
2025-05-30,Shopping,IL,FAC_Camp_1,1301,75,181.22,482.39
2025-05-30,Display,TX,FAC_Camp_7,18568,416,245.37,485.99
2025-05-31,Display,NY,FAC_Camp_2,8455,354,362.81,466.06
