date,tactic,state,campaign,impression,clicks,spend,attributed_revenue
2025-05-18,Display,NY,TIK_Camp_7,7008,376,471.73,942.78
2025-05-18,Search,TX,TIK_Camp_5,3572,21,39.74,46.87
2025-05-19,Shopping,NY,TIK_Camp_6,16103,875,690.59,833.89
2025-05-19,Social,NY,TIK_Camp_5,13940,587,440.16,1075.53
2025-05-19,Shopping,NY,TIK_Camp_6,17955,296,724.04,1581.94
2025-05-19,Social,CA,TIK_Camp_3,19628,924,1654.71,4833.36
2025-05-20,Video,NY,TIK_Camp_2,4084,116,191.82,454.62
2025-05-20,Social,TX,TIK_Camp_3,3933,87,144.68,233.81
2025-05-21,Social,TX,TIK_Camp_7,5239,260,545.48,1379.32
2025-05-21,Video,CA,TIK_Camp_7,15605,234,561.48,879.48
2025-05-21,Social,FL,TIK_Camp_1,18551,588,265.03,337.02
2025-05-22,Display,FL,TIK_Camp_2,10488,226,491.55,1313.24
2025-05-22,Search,TX,TIK_Camp_1,18297,1042,1844.18,2697.52
2025-05-22,Shopping,TX,TIK_Camp_2,12646,146,133.99,341.07
2025-05-22,Video,FL,TIK_Camp_2,18071,417,718.63,1745.69
2025-05-23,Social,TX,TIK_Camp_3,16240,962,1515.18,1346.27
2025-05-23,Social,CA,TIK_Camp_3,7380,58,107.31,192.47
2025-05-23,Shopping,CA,TIK_Camp_3,5938,250,415.73,675.2
2025-05-24,Social,TX,TIK_Camp_7,19640,596,1255.19,3273.53
2025-05-24,Search,FL,TIK_Camp_4,8437,353,636.51,976.95
2025-05-24,Video,NY,TIK_Camp_4,15998,618,558.98,810.55
2025-05-24,Search,NY,TIK_Camp_4,11486,228,176.07,504.75
2025-05-25,Social,CA,TIK_Camp_6,2907,101,246.87,382.4
2025-05-25,Shopping,CA,TIK_Camp_5,10297,301,669.36,1246.82
2025-05-26,Shopping,FL,TIK_Camp_6,16706,313,115.41,256.81
2025-05-26,Display,CA,TIK_Camp_5,16804,809,525.96,1360.44
2025-05-26,Search,CA,TIK_Camp_3,9633,72,168.54,374.13
2025-05-27,Shopping,NY,TIK_Camp_5,15783,378,123.18,144.09
2025-05-27,Shopping,TX,TIK_Camp_1,3659,121,102.51,265.62
2025-05-28,Video,TX,TIK_Camp_1,7240,317,287.75,361.7
2025-05-28,Social,NY,TIK_Camp_3,2567,113,83.55,202.49
2025-05-28,Display,IL,TIK_Camp_7,7001,108,31.28,50.08
2025-05-29,Video,NY,TIK_Camp_5,17678,880,1951.96,4837.59
2025-05-29,Display,CA,TIK_Camp_2,10017,70,144.1,207.17
2025-05-30,Search,TX,TIK_Camp_1,9243,484,394.11,760.52
2025-05-30,Social,TX,TIK_Camp_7,2867,164,78.77,58.45
2025-05-30,Video,CA,TIK_Camp_6,16424,941,484.75,938.69
2025-05-31,Search,NY,TIK_Camp_4,14276,759,1732.18,3176.47
2025-05-31,Search,CA,TIK_Camp_2,7080,406,137.44,190.3
2025-05-31,Search,FL,TIK_Camp_7,18517,1025,1897.53,2566.03
2025-05-31,Search,TX,TIK_Camp_2,19300,141,308.61,300.25
2025-06-01,Display,FL,TIK_Camp_3,16124,842,495.32,1319.57
2025-06-01,Social,IL,TIK_Camp_1,12875,726,1663.39,4300.09
2025-06-02,Video,NY,TIK_Camp_4,7957,456,882.56,1522.01
2025-06-02,Social,CA,TIK_Camp_2,18488,604,1227.22,2946.28
2025-06-02,Search,NY,TIK_Camp_6,11740,317,641.67,774.6
2025-06-02,Shopping,TX,TIK_Camp_5,4918,282,284.92,227.69
2025-06-03,Shopping,NY,TIK_Camp_5,8996,294,619.47,1157.62
2025-06-03,Video,NY,TIK_Camp_3,15914,247,132.35,378.2
2025-06-04,Display,NY,TIK_Camp_2,4114,36,34.92,49.64
2025-06-04,Display,TX,TIK_Camp_2,14204,369,186.06,214.41
2025-06-04,Social,CA,TIK_Camp_4,5151,191,269.31,658.84
2025-06-04,Shopping,CA,TIK_Camp_6,11426,560,344.04,327.76
2025-06-05,Search,IL,TIK_Camp_4,17149,153,233.22,621.16
2025-06-05,Search,IL,TIK_Camp_3,5136,48,25.85,35.81
2025-06-05,Search,CA,TIK_Camp_1,6471,204,98.63,138.84
2025-06-05,Display,IL,TIK_Camp_5,19799,732,1349.66,1690.46
2025-06-06,Display,CA,TIK_Camp_5,18296,288,167.71,470.92
2025-06-06,Social,TX,TIK_Camp_1,4085,191,187.05,540.53
2025-06-06,Video,NY,TIK_Camp_4,12468,238,302.16,369.25
2025-06-07,Shopping,TX,TIK_Camp_1,10369,246,593.25,1022.27
2025-06-07,Video,TX,TIK_Camp_2,12049,427,379.28,641.35
2025-06-07,Shopping,CA,TIK_Camp_1,8011,454,741.56,1784.0
2025-06-08,Social,CA,TIK_Camp_1,19895,523,806.4,1425.45
2025-06-08,Search,IL,TIK_Camp_6,16146,180,282.92,513.44
2025-06-09,Social,CA,TIK_Camp_3,6555,224,248.7,524.82
2025-06-09,Social,NY,TIK_Camp_4,9747,335,543.39,1231.08
2025-06-09,Shopping,CA,TIK_Camp_5,8067,230,74.45,55.9
2025-06-09,Video,FL,TIK_Camp_6,7447,262,144.68,343.57
2025-06-10,Shopping,FL,TIK_Camp_4,9269,338,333.19,730.18
2025-06-10,Video,TX,TIK_Camp_6,4089,94,195.16,404.73
2025-06-10,Video,IL,TIK_Camp_6,3131,165,66.45,165.24
2025-06-11,Search,TX,TIK_Camp_7,13479,680,1293.15,3251.95
2025-06-11,Display,IL,TIK_Camp_5,14465,105,98.78,196.32
2025-06-11,Social,NY,TIK_Camp_3,5726,328,608.2,1726.91
2025-06-11,Video,CA,TIK_Camp_1,7665,344,164.77,230.08
2025-06-12,Display,IL,TIK_Camp_4,14708,645,1184.92,3277.75
2025-06-12,Shopping,TX,TIK_Camp_3,18025,210,390.31,438.2
2025-06-12,Shopping,FL,TIK_Camp_3,7795,248,351.15,515.92
2025-06-12,Display,IL,TIK_Camp_2,10327,157,62.08,105.74
2025-06-13,Search,CA,TIK_Camp_5,19667,473,1109.47,3131.02
2025-06-13,Display,NY,TIK_Camp_2,14733,751,1639.98,2339.91
2025-06-13,Shopping,IL,TIK_Camp_6,19064,749,258.51,373.96
2025-06-14,Search,FL,TIK_Camp_6,11278,356,422.59,368.61
2025-06-14,Display,NY,TIK_Camp_4,10513,165,224.61,554.36
2025-06-15,Search,IL,TIK_Camp_3,1737,47,55.34,87.47
2025-06-15,Video,NY,TIK_Camp_2,13817,145,160.15,339.27
2025-06-16,Social,IL,TIK_Camp_6,5497,127,117.57,111.13
2025-06-16,Search,IL,TIK_Camp_2,9627,574,1261.47,2521.26
2025-06-17,Video,CA,TIK_Camp_4,12154,518,449.16,522.54
2025-06-17,Shopping,NY,TIK_Camp_4,1545,12,15.8,44.23
2025-06-18,Display,NY,TIK_Camp_6,16372,367,259.37,488.96
2025-06-18,Shopping,FL,TIK_Camp_7,4659,255,487.02,937.76
2025-06-18,Social,CA,TIK_Camp_2,6092,162,349.46,522.61
2025-06-19,Shopping,NY,TIK_Camp_5,10612,431,977.63,2086.32
2025-06-19,Social,IL,TIK_Camp_7,18143,997,1943.07,4383.01
2025-06-19,Shopping,IL,TIK_Camp_6,8787,341,99.83,144.77
2025-06-19,Shopping,FL,TIK_Camp_1,10702,176,87.97,102.76
